Date,Time of day,Articles,CLASS,Ref,Qty,Rate,Amount,Weeday,Month,Profit,
1/1/2023 10:23,Morning,ROBB OINTMENT TIN,ANALGESICS CREAM,30717,1,60,60,Sunday,January,19,
1/1/2023 10:32,Morning,TITUS SARDINES 125G,MINI-MART,30718,1,650,650,Sunday,January,167,
1/1/2023 10:32,Morning,VIJU CHOCOLATE FLAVOR SMALL SIZE,MINI-MART,30718,1,350,350,Sunday,January,100,
1/1/2023 10:41,Morning,FELVIN 20 CAPSULES,ANALGESICS,30719,1,150,150,Sunday,January,64,
1/1/2023 11:03,Morning,5 ALIVE PULPY 85CL,MINI-MART,30720,1,550,550,Sunday,January,150,
1/1/2023 11:18,Morning,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30721,15,100,500,Sunday,January,200,
1/1/2023 11:30,Morning,LIQUID IRON TONIC 200ML,SUPPLEMENTS,30722,1,650,650,Sunday,January,220,
1/1/2023 11:30,Morning,MAXIQUINE SYRUP,ANTIMALARIAL,30722,1,350,350,Sunday,January,100,
1/1/2023 11:30,Morning,JAWACLOX SUSPENSION 100ML,ANTIBIOTICS,30722,1,800,800,Sunday,January,230,
1/1/2023 11:30,Morning,XASTEN TABLETS 1MG,ANALGESICS,30722,2,50,100,Sunday,January,34,
1/1/2023 11:31,Morning,AMLODIPINE TABLETS 5MG PHARMAMAX,CARDIOVASCULAR,30723,0.5,650,325,Sunday,January,95,
1/1/2023 11:35,Morning,TUXIL D COUGH SYRUP CHILD,"COUGH,COLD & THROAT",30724,1,400,400,Sunday,January,130,
1/1/2023 11:36,Morning,ZAIKI AFTER 5 SATCHETS,ANALGESICS,30725,4,50,200,Sunday,January,48,
1/1/2023 11:52,Morning,ALDOMET TABLET 250MG,CARDIOVASCULAR,30726,2,600,"1,200",Sunday,January,408,
1/1/2023 12:01,Morning,FOLIMOP SYRUP,SUPPLEMENTS,30727,1,450,450,Sunday,January,140,
1/1/2023 12:01,Morning,WELLKID SYRUP BABY & INFANT,SUPPLEMENTS,30727,1,"4,850","4,850",Sunday,January,"1,395",
1/1/2023 12:01,Morning,AMOXICILLIN CAPSULES UNBRANDED 500MG,ANTIBIOTICS,30728,1,350,350,Sunday,January,105,
1/1/2023 12:01,Morning,EM-VIT-C ORANGE BY 1000,SUPPLEMENTS,30728,1,100,100,Sunday,January,26,
1/1/2023 12:01,Morning,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30728,1,30,30,Sunday,January,10,
1/1/2023 12:24,Morning,EXTRACT SOAPN PAPAYA 125G,MINI-MART,30729,1,"1,100","1,100",Sunday,January,300,
1/1/2023 12:24,Morning,VIGOS CHOCOLATE,MINI-MART,30729,3,60,180,Sunday,January,48,
1/1/2023 12:24,Morning,TOM TOM MENTHOL,MINI-MART,30730,1,20,20,Sunday,January,11,
1/1/2023 12:30,Morning,STREPSILS LOZENGES ORIGINAL,"COUGH,COLD & THROAT",30731,2,"3,850","3,850",Sunday,January,910,
1/1/2023 12:50,Morning,PARACETAMOL TABLETS M&B 500MG BY 96,ANALGESICS,30732,1,150,150,Sunday,January,55,
