PU-Code,PU-Name,Ward,Latitude,Longitude,APC_outlier,LP_outlier,PDP_outlier,NNPP_outlier,Neighbors
03-01-01-001,"VILLAGE SQUARE, IKOT AKWA EBOM",ABAK URBAN 1,5.003286,7.7742702,95.57575758,29.84848485,45.96969697,0.666666667,"['03-01-01-007', '03-01-01-012', '03-01-02-003', '03-01-03-007', '03-01-04-001', '03-01-04-002', '03-01-04-004', '03-01-04-007', '03-01-05-001', '03-01-05-004', '03-01-05-005', '03-01-05-007', '03-01-05-008', '03-01-05-010', '03-01-05-011', '03-01-05-012', '03-01-05-013', '03-01-09-001', '03-01-09-002', '03-01-09-004', '03-01-09-005', '03-14-11-005', '03-28-05-007', '03-28-05-008', '03-01-01-019', '03-01-01-020', '03-01-01-023', '03-01-01-024', '03-01-01-025', '03-01-03-028', '03-01-02-008', '03-01-02-010', '03-01-09-008']"
03-01-01-003,"PRY SCH, IKOT OKU UBARA",ABAK URBAN 1,4.85794,7.7620434,18.66666667,13.33333333,23.33333333,1,"['03-01-01-005', '03-26-07-005', nan, nan, nan, nan]"
03-01-01-005,"VILLAGE SQUARE, ATAI EDIENE",ABAK URBAN 1,4.85794,7.7620434,9.333333333,11.16666667,11.66666667,0.166666667,"['03-01-01-003', '03-26-07-005', nan, nan, nan, nan]"
03-01-01-006,PRY SCH IBANANG EDIENE,ABAK URBAN 1,4.986635,7.8239319,79,38,26.5,0.5,"['03-01-01-018', '03-01-01-021']"
03-01-01-007,"VILLAGE HALL, IKOT UDOUSUNG",ABAK URBAN 1,5.003286,7.7742702,57.45454545,2.03030303,12.75757576,0.363636364,"['03-01-01-001', '03-01-01-012', '03-01-02-003', '03-01-03-007', '03-01-04-001', '03-01-04-002', '03-01-04-004', '03-01-04-007', '03-01-05-001', '03-01-05-004', '03-01-05-005', '03-01-05-007', '03-01-05-008', '03-01-05-010', '03-01-05-011', '03-01-05-012', '03-01-05-013', '03-01-09-001', '03-01-09-002', '03-01-09-004', '03-01-09-005', '03-14-11-005', '03-28-05-007', '03-28-05-008', '03-01-01-019', '03-01-01-020', '03-01-01-023', '03-01-01-024', '03-01-01-025', '03-01-03-028', '03-01-02-008', '03-01-02-010', '03-01-09-008']"
03-01-01-008,"VILLAGE SQUARE, IKOT UDOUSUNG",ABAK URBAN 1,5.002768,7.8177601,73.8,12.2,1.8,0.6,"['03-01-01-010', '03-01-01-011', '03-01-01-014', '03-01-01-015', '03-01-01-016']"
03-01-01-010,"NCSS, IKOT IYIRE",ABAK URBAN 1,5.002768,7.8177601,13.8,3.4,9,1.8,"['03-01-01-008', '03-01-01-011', '03-01-01-014', '03-01-01-015', '03-01-01-016']"
03-01-01-011,"VILLAGE SQUARE, IKOT AKAN ADIA",ABAK URBAN 1,5.002768,7.8177601,24.6,6.2,6.6,0.6,"['03-01-01-008', '03-01-01-010', '03-01-01-014', '03-01-01-015', '03-01-01-016']"
03-01-01-012,"VILLAGE HALL, IKOT AKPAN ADIA",ABAK URBAN 1,5.003286,7.7742702,80.12121212,20.57575758,16.09090909,0.666666667,"['03-01-01-001', '03-01-01-007', '03-01-02-003', '03-01-03-007', '03-01-04-001', '03-01-04-002', '03-01-04-004', '03-01-04-007', '03-01-05-001', '03-01-05-004', '03-01-05-005', '03-01-05-007', '03-01-05-008', '03-01-05-010', '03-01-05-011', '03-01-05-012', '03-01-05-013', '03-01-09-001', '03-01-09-002', '03-01-09-004', '03-01-09-005', '03-14-11-005', '03-28-05-007', '03-28-05-008', '03-01-01-019', '03-01-01-020', '03-01-01-023', '03-01-01-024', '03-01-01-025', '03-01-03-028', '03-01-02-008', '03-01-02-010', '03-01-09-008']"
03-01-01-014,"PRY SCH, MANTA",ABAK URBAN 1,5.002768,7.8177601,81,34.6,6.6,0.6,"['03-01-01-008', '03-01-01-010', '03-01-01-011', '03-01-01-015', '03-01-01-016']"
03-01-01-015,"VILLAGE SQUARE, MANTA EDEM IDEM",ABAK URBAN 1,5.002768,7.8177601,4.2,11,27,0.6,"['03-01-01-008', '03-01-01-010', '03-01-01-011', '03-01-01-014', '03-01-01-016']"
03-01-02-001,"PRY SCH, IBAGWA. I",ABAK URBAN 11,4.901297,7.7946527,18,4.454545455,3.090909091,1.181818182,"['03-01-02-002', '03-26-04-006', '03-26-12-011', nan, nan, nan, nan, nan, nan, nan, nan]"
03-01-02-002,"PRY SCH, IBAGWA. II",ABAK URBAN 11,4.901297,7.7946527,28.90909091,47.90909091,0.181818182,1,"['03-01-02-001', '03-26-04-006', '03-26-12-011', nan, nan, nan, nan, nan, nan, nan, nan]"
03-01-02-003,"VILLAGE HALL, OKON ABAK",ABAK URBAN 11,5.003286,7.7742702,48.18181818,7.242424242,15.06060606,0.666666667,"['03-01-01-001', '03-01-01-007', '03-01-01-012', '03-01-03-007', '03-01-04-001', '03-01-04-002', '03-01-04-004', '03-01-04-007', '03-01-05-001', '03-01-05-004', '03-01-05-005', '03-01-05-007', '03-01-05-008', '03-01-05-010', '03-01-05-011', '03-01-05-012', '03-01-05-013', '03-01-09-001', '03-01-09-002', '03-01-09-004', '03-01-09-005', '03-14-11-005', '03-28-05-007', '03-28-05-008', '03-01-01-019', '03-01-01-020', '03-01-01-023', '03-01-01-024', '03-01-01-025', '03-01-03-028', '03-01-02-008', '03-01-02-010', '03-01-09-008']"
